ID_code,target,var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50,var_51,var_52,var_53,var_54,var_55,var_56,var_57,var_58,var_59,var_60,var_61,var_62,var_63,var_64,var_65,var_66,var_67,var_68,var_69,var_70,var_71,var_72,var_73,var_74,var_75,var_76,var_77,var_78,var_79,var_80,var_81,var_82,var_83,var_84,var_85,var_86,var_87,var_88,var_89,var_90,var_91,var_92,var_93,var_94,var_95,var_96,var_97,var_98,var_99,var_100,var_101,var_102,var_103,var_104,var_105,var_106,var_107,var_108,var_109,var_110,var_111,var_112,var_113,var_114,var_115,var_116,var_117,var_118,var_119,var_120,var_121,var_122,var_123,var_124,var_125,var_126,var_127,var_128,var_129,var_130,var_131,var_132,var_133,var_134,var_135,var_136,var_137,var_138,var_139,var_140,var_141,var_142,var_143,var_144,var_145,var_146,var_147,var_148,var_149,var_150,var_151,var_152,var_153,var_154,var_155,var_156,var_157,var_158,var_159,var_160,var_161,var_162,var_163,var_164,var_165,var_166,var_167,var_168,var_169,var_170,var_171,var_172,var_173,var_174,var_175,var_176,var_177,var_178,var_179,var_180,var_181,var_182,var_183,var_184,var_185,var_186,var_187,var_188,var_189,var_190,var_191,var_192,var_193,var_194,var_195,var_196,var_197,var_198,var_199
train_120837,0,7.1545,2.8296,12.8612,7.6127,10.6555,-0.0555,4.4894,24.4828,-4.7375,5.4653,5.4987,4.0326,14.1648,14.8932,5.3732,14.3354,12.0535,2.0397,9.6205,2.2053,5.0263,12.6342,4.9617,2.592,15.1312,13.2126,-5.5624,-0.6735,6.1594,2.7483,-7.6748,8.291,0.2935,11.2861,11.4812,12.7597,5.2913,3.1557,6.2991,-1.0226,0.8704,19.1938,10.9609,11.5695,2.7934,-20.2595,13.1295,3.8214,24.2765,18.1106,11.4546,21.7254,3.6387,5.2954,3.862,21.1109,13.5834,7.1742,1.5678,8.8794,8.8568,-6.9873,3.0812,4.2662,7.1489,9.4119,6.1731,-3.8011,5.0241,-1.8815,10.696,0.8259,2.3129,21.3309,-7.3532,11.719,-5.5652,20.0806,5.4523,15.4694,9.442,15.3357,6.7343,-2.3178,-6.6122,13.9624,6.5475,15.588,5.8777,2.8648,-26.8661,6.7878,16.4981,10.3528,9.1651,-0.5346,12.5492,29.0375,0.4953,-3.8393,-10.8542,6.2363,27.0252,1.6286,11.3012,3.9286,10.9466,20.0673,14.3691,20.9218,4.6867,6.0891,5.3013,6.8522,3.2302,4.1673,3.8674,12.5747,-5.4918,3.0363,25.2048,7.4877,-1.9776,4.6263,6.9828,12.2172,12.5885,-0.0245,-4.9442,11.3991,13.1028,0.7388,5.7311,6.7304,6.4968,-7.412,10.464,2.2335,-2.7646,5.7897,7.0107,12.8615,6.2755,12.0417,8.4373,9.4224,13.1111,-13.6826,4.0329,5.3543,15.982,15.5237,9.2258,17.894,0.3991,0.5719,13.5903,-15.2134,28.4186,6.8459,35.4038,5.9184,3.0019,4.7777,-2.2666,18.6124,3.4983,-1.4536,4.6718,5.2365,3.2191,0.1962,20.7345,1.232,19.884,12.1416,-3.2583,13.4073,10.9618,0.3995,-3.0923,11.4096,11.1233,10.1327,23.4611,-13.1675,7.2833,4.457,14.6822,2.6802,0.4694,9.5021,4.2713,-4.1652,15.8793,-1.6903,5.5892,8.2131,16.4736,-11.5577
train_191522,0,7.7315,-3.4498,7.3103,7.9163,9.4726,-9.8974,4.9925,19.3458,3.8757,6.3723,1.6583,5.8721,14.054,4.9426,10.5936,14.5028,10.1665,1.3285,4.8839,17.1534,3.5761,16.8142,6.5253,3.4893,15.8507,13.9894,-14.4713,-3.2013,4.5718,3.4005,-0.5513,10.8584,2.5593,11.8538,10.2422,8.1021,1.1278,3.0426,13.284,-0.6388,-6.6083,9.1274,11.7075,11.9605,19.2879,9.397,15.2389,-5.5777,28.6222,15.8325,11.8358,16.1071,-1.7356,4.8701,-19.8043,7.8265,15.2319,6.9188,0.8075,10.5983,7.4423,2.5825,3.3204,-2.448,6.7477,-3.8202,2.8669,18.4947,5.0155,2.3639,28.2316,0.615,0.9724,18.7155,41.8846,15.0521,11.3081,23.3844,4.6177,14.5443,5.9704,14.4627,4.6835,-8.0554,-13.4601,20.9931,3.2044,16.6532,5.6375,3.6801,-10.929,7.0566,5.7874,11.0017,10.6756,0.1918,25.6816,16.4327,1.0242,-0.3832,-22.7945,13.6288,16.3644,1.7568,11.642,4.3775,12.6503,25.8807,14.372,13.663,7.0328,6.9,3.9083,8.9766,3.8438,5.2346,2.855,-6.4906,-16.7942,-1.2372,2.2749,10.4193,7.5756,13.6397,5.0076,12.1669,14.3396,6.0503,-2.8677,13.9834,10.974,0.6884,9.4606,7.0307,2.6696,-3.4968,11.6539,2.6437,-6.5545,10.3451,2.2356,1.4241,11.2675,11.2101,7.5854,3.9809,11.3268,-6.7026,4.0729,14.6854,16.3666,8.6845,4.6061,12.5513,6.5371,-0.8791,12.1155,-8.1615,7.9051,9.1973,20.0767,5.9646,4.9948,5.7296,8.1272,28.2486,3.2527,-11.9083,5.2789,5.7728,-4.2646,-3.6002,23.1697,-6.7522,8.1383,13.7723,-13.8921,9.3087,-9.5509,2.3706,-0.7596,10.9052,-7.0666,8.7747,-6.8196,0.5114,15.0036,-8.769,13.1821,2.6202,7.01,13.9988,3.8525,3.9382,18.1462,0.5876,-2.9867,9.153,15.7506,2.9652
train_189018,0,16.3289,5.6228,7.3319,9.7884,8.4478,-10.5003,4.8449,20.7863,-0.4051,6.1774,-1.7667,-3.565,14.0012,3.5634,6.5159,14.1452,9.627,-0.1386,5.7263,0.8386,16.5702,8.3083,5.8174,3.414,7.4811,13.8306,-4.6067,-2.1724,5.961,0.1449,-5.5262,6.3717,1.5262,20.6052,10.822,4.2727,-2.9857,7.6382,13.4124,-1.9296,-15.5807,4.6479,10.7088,11.4597,15.554,-46.2086,9.8421,-30.9958,11.0836,17.0893,12.7223,2.0737,-12.9197,6.3219,-11.5615,12.2204,20.3566,5.2846,10.2213,8.648,17.9178,12.8229,2.8784,0.3923,7.1114,-4.6197,5.8196,11.58,5.0135,-5.7193,10.3713,0.5678,6.8571,17.0018,17.666,17.8853,8.6276,16.4391,6.3319,13.8785,3.4728,12.4896,1.1318,6.8258,7.6968,23.0516,4.7944,13.5513,8.5687,7.5513,-25.2424,6.933,11.0109,10.5013,7.2138,-0.5522,10.3579,10.4731,2.6591,0.7616,-3.8098,13.2729,22.5989,1.6852,11.9512,5.3518,7.366,10.2331,14.4613,22.0413,6.7394,7.0576,4.8676,7.2778,4.5911,3.032,3.7934,27.6572,3.6457,-2.9274,16.519,12.2704,-1.3619,-5.0935,8.7533,12.3083,13.5869,0.8034,-4.9446,14.1942,11.9465,1.2728,6.9181,6.4192,-1.4727,2.8616,43.289,7.198,0.6333,2.0677,7.2535,-11.9408,13.6903,12.5757,9.0962,10.3532,8.7968,0.6732,4.0871,2.3409,18.7106,10.1759,3.49,14.466,1.4658,2.5521,13.6067,-5.8723,27.1492,6.3024,25.2149,5.8698,5.2371,5.8808,-5.4222,16.9675,3.1287,-7.3936,6.1297,6.038,-3.1157,-5.0141,9.7025,-2.9862,24.4328,13.6625,-1.5937,12.202,7.935,2.3945,2.2884,8.2903,-17.7593,10.9515,15.4018,2.5747,14.1316,-36.1418,20.7416,1.566,9.8763,10.8874,1.3111,5.7872,20.558,-0.0407,0.3444,8.4631,18.3694,-24.3642
train_178837,0,8.6116,-5.8996,10.065,4.4835,11.5133,-16.3219,6.0823,10.2389,-1.1665,9.1526,-3.1146,6.6705,13.9886,8.8669,6.9076,13.9977,12.2292,4.5786,7.9626,5.7149,16.6126,20.6051,7.273,2.2243,4.6616,13.6553,-1.4239,0.4592,4.9855,4.313,-8.5536,9.9095,-0.9449,13.9955,10.9358,11.1832,7.5814,8.1459,9.0508,-0.6408,-19.6802,5.0718,11.8613,11.5217,10.99,12.3073,14.2148,-21.2164,24.7717,10.2293,12.8754,17.2044,-7.4676,5.8974,4.0604,18.2989,17.3798,6.3674,2.6998,8.5787,11.539,-23.7249,1.4901,0.8505,6.3028,6.9001,7.111,14.7758,5.014,0.8754,15.0624,0.2893,-3.7083,32.6907,13.0955,14.0915,-2.8124,14.7407,5.344,13.9196,-2.099,16.6156,-7.4558,11.0065,-0.0218,16.8471,6.2955,8.2563,6.5183,-4.4487,-6.9534,6.8509,10.2317,10.3342,8.2982,0.1771,11.4705,18.3576,2.1191,0.5956,-7.2993,12.4909,7.0962,1.3149,12.3416,5.4497,10.3774,20.0266,14.4399,16.1876,8.2781,5.1096,5.0484,13.1808,2.0403,5.0702,4.2563,22.5778,-7.9739,3.1793,52.5018,10.5499,0.7023,8.0888,3.4152,12.2352,12.9628,2.2661,1.5576,11.8719,12.4834,-0.3924,8.3943,6.919,-1.1133,0.8136,20.0046,9.6428,2.7142,13.2867,2.3235,3.9864,15.437,10.9567,8.1308,2.1651,10.3409,-7.7459,3.8928,9.9602,18.0646,12.013,3.2918,16.1351,-3.6429,-14.0602,13.6164,-2.4437,30.1112,8.1915,27.1776,5.6121,3.5031,12.7984,-1.731,27.8099,2.1174,-19.5717,7.7028,6.1827,3.9031,6.39,28.063,9.146,32.8856,16.2213,-3.5336,6.7617,-1.6106,1.3745,-10.2894,10.1397,4.5715,11.3571,-1.0558,-2.5865,13.1641,4.7168,11.4562,1.6763,8.4468,5.3336,1.2931,-0.9596,15.2805,-0.5114,-8.11,8.734,16.523,-0.1063
train_23790,0,8.7984,2.0618,8.7251,6.9893,8.9918,-5.2173,5.5445,15.0942,-4.1607,7.52,4.559,-0.0882,14.1647,9.8824,5.053,14.1247,6.4828,-0.6992,20.4341,4.1752,13.5191,10.8876,6.7376,3.5605,10.495,14.1091,-10.109,-4.4811,5.3417,2.7208,-21.986,9.2634,1.0084,13.0506,10.7826,-3.9301,-3.9889,8.2385,5.7609,3.1144,-24.2999,8.3643,11.0775,11.5894,10.0565,-2.4446,11.3646,-1.154,24.1259,16.5078,13.1822,16.3145,2.2114,6.5638,6.4963,24.9219,12.1633,6.0438,0.2903,8.4551,20.2374,-26.0654,2.7156,1.8622,6.2031,3.5344,4.2968,2.7538,5.0273,-8.8193,26.7142,0.807,-1.2114,4.4196,23.3044,15.1848,2.5144,17.5562,3.2426,14.714,3.8979,16.1537,-9.0397,-7.8386,-0.9869,19.6912,-1.0742,12.4472,6.3956,4.6625,-17.2414,7.0089,13.1017,10.6622,15.0533,0.9153,5.0957,25.1862,2.3871,0.3028,-6.464,12.621,23.3279,1.4584,12.2932,4.1233,7.2375,12.5477,14.2414,19.0367,12.7622,5.7649,6.4212,7.2254,2.6511,0.088,-0.0072,22.9435,7.2696,7.5397,23.2278,10.3626,-6.4264,1.0188,1.4006,12.4525,13.2017,3.2024,-0.0632,12.0485,11.7903,0.6744,10.4424,6.7267,-11.6643,-13.9625,36.9334,28.9462,4.4322,13.7168,8.0662,10.9176,20.1053,14.4937,8.9319,2.3693,6.3544,-0.9499,4.0893,-11.8862,17.1746,11.1432,10.9357,14.4888,7.322,-2.8972,13.6625,-9.0317,27.9493,6.6268,16.6672,6.0598,5.46,8.6675,-11.663,18.8053,2.9359,-11.0653,4.8523,5.8299,-1.8341,-9.1983,22.0894,5.7667,19.5689,14.5171,0.5523,8.8238,-2.5222,6.2239,-5.085,10.8044,1.3262,3.3254,18.6693,3.7747,14.9102,-18.4256,16.2606,-0.7039,2.8822,8.5818,1.1066,2.6879,18.6902,-1.6535,9.0309,8.567,14.8127,10.8133
train_192143,0,9.4946,-3.313,9.7273,3.9669,9.1012,4.3042,5.3769,12.7453,0.7414,7.3093,0.2605,-2.1719,14.1688,13.6176,7.7149,14.5188,8.3806,-12.0075,18.2459,18.7,7.5576,11.8723,1.2707,3.5467,13.9336,13.5925,-2.8912,-2.2816,4.1812,2.9253,-3.8329,9.1222,-2.0928,12.645,11.3243,8.4884,3.9791,8.0489,12.5222,8.5729,-19.538,19.2339,10.1477,11.6345,4.7521,-4.9977,7.9206,-27.9479,4.9041,-1.2168,11.7905,9.4749,-8.3189,6.7322,6.6443,12.542,19.1772,6.5186,10.6756,8.3147,10.8031,-13.6507,2.7446,0.0289,9.2317,-0.0225,4.5253,7.7818,5.0141,-3.2951,14.2629,0.7449,7.9155,30.1071,15.336,17.6951,-1.0148,22.2765,2.1259,12.6768,15.2563,12.1522,-0.4311,-3.4728,-5.095,15.108,6.2632,11.3067,9.7093,12.0554,-9.2965,6.7959,3.7471,10.8235,13.065,-0.1815,3.0314,16.5125,3.0478,-1.8621,-11.0015,15.6667,21.6348,1.8744,10.2165,4.6661,8.0661,9.7435,14.238,20.9016,6.4593,5.5289,3.8751,10.3745,1.5452,0.569,3.7516,24.6355,-18.5846,6.7676,24.8789,9.0018,6.4295,9.1695,5.8447,12.7853,12.9799,-1.5476,0.0408,17.8165,12.2393,0.4332,6.9752,6.3979,-13.3191,-2.8497,41.6034,19.8857,3.1074,6.4132,5.9372,10.655,8.2076,13.6029,8.0285,2.4276,9.0753,-13.9682,4.0553,-6.6674,16.5125,12.1554,0.9367,19.8288,-2.9658,-9.1631,11.5161,-7.1276,10.4345,17.042,3.0344,5.6747,7.5302,10.9608,-7.4766,23.3417,2.9497,-6.8323,3.1662,5.5584,-1.2103,-9.2096,17.6119,-4.0544,27.7344,10.7762,-6.5608,9.3703,9.1652,0.2477,-7.485,9.665,-11.4227,8.5503,4.6602,-3.3585,1.9667,-12.1242,12.484,1.3146,-0.5565,12.2359,2.6696,-0.9837,17.9393,0.4869,-1.346,7.8677,12.1567,-12.4722
train_190900,0,7.015,4.1773,10.8278,5.1221,10.6037,4.9248,5.7536,12.0028,-1.0081,6.0497,-7.5904,7.4568,14.2119,13.6705,5.963,14.5595,11.4998,-3.3055,31.3258,21.8656,16.3199,15.3621,3.6708,2.6496,18.1856,12.995,2.4592,-0.6656,4.8463,-2.2728,-13.975,8.8357,-1.8668,9.386,12.3268,-1.8814,6.5226,5.2475,14.3374,-0.5874,-8.3919,24.0251,10.3566,11.2869,5.9716,-0.2808,12.5246,-13.4727,5.7193,9.6599,11.7845,1.0436,-0.9425,6.0134,-0.8297,2.2431,11.3814,6.929,7.2942,8.5364,15.1178,-12.5522,-0.5244,1.7575,4.1952,1.1612,6.3652,21.7663,5.0236,-8.6839,36.6436,0.4029,5.2647,26.0598,23.3926,15.8256,0.0534,26.6773,5.0437,12.5198,14.2122,15.8907,0.6362,2.3814,-10.5316,15.2688,3.1281,2.424,10.281,6.4942,-13.1361,7.2616,9.7835,10.9585,17.2087,-0.5501,5.7179,42.7328,2.5133,2.5355,0.669,4.2233,32.0333,1.7821,9.3005,4.1498,9.6057,9.9283,13.9737,22.1141,2.9953,7.9073,2.5167,8.1472,3.961,6.7719,1.6773,9.7383,-9.8742,11.4213,18.1506,10.8126,2.812,11.1722,3.578,13.0456,13.6635,4.7532,-2.4187,18.5212,12.5226,0.4421,9.8271,7.2481,-10.6852,-2.0623,35.9747,5.9846,-1.6007,8.0202,3.1653,-1.6345,12.0124,9.208,8.4124,5.3928,13.603,-11.0199,4.0853,6.009,11.7339,14.8967,6.4969,14.6895,7.8378,4.3892,13.0058,-3.036,31.2152,12.8651,30.7382,5.8437,4.4382,17.3585,-9.0996,17.4789,2.7391,2.6427,-1.7418,5.6962,-5.5362,-7.1,5.2317,-6.7462,28.6577,13.9139,-2.1577,10.9678,-4.0982,1.8626,-4.6076,10.0036,10.109,17.8031,16.159,0.4962,9.1247,7.7741,13.7317,1.5909,5.9689,5.5646,0.7319,2.9838,20.7336,-2.0597,10.9195,9.4262,19.555,5.6189
train_123554,0,16.4507,-6.407,14.5936,11.596,11.5468,-13.9848,5.2888,17.7708,-4.1033,7.0405,0.8365,-15.075,14.1843,14.8334,11.2,14.5551,8.8724,-13.3067,15.6825,5.093,20.8788,2.5537,10.362,2.7403,5.1506,13.6657,3.4426,-0.4446,7.0765,5.3992,-6.1233,11.0862,-3.2436,21.3329,12.1184,-2.8024,1.3951,3.9996,9.6291,-1.1495,-16.52,7.5225,12.0,11.6652,16.7393,-47.9162,13.2909,-25.9231,3.2569,18.4088,12.893,2.6787,-5.6831,6.0409,4.426,5.549,19.4133,5.0273,7.5164,9.6625,6.3151,-29.9301,2.0627,-2.0563,4.97,4.7062,5.9402,8.6424,5.0128,-0.4894,26.4902,0.6415,-0.4755,20.9791,17.2155,18.1082,13.7054,18.3411,6.3791,15.5706,11.4442,17.0381,-1.9875,-9.7988,-1.775,25.6679,9.6694,17.4646,9.9657,1.3427,8.0021,6.8935,12.1993,11.446,14.0498,0.3077,16.2616,31.7082,2.6027,1.8652,-15.7729,10.3572,35.0911,1.3342,12.0447,3.2176,10.8866,14.1511,14.2584,20.4061,10.1261,7.6735,3.2197,4.5256,2.8278,4.4086,3.1377,11.3549,-12.0695,-5.5304,26.2196,10.2268,5.6205,13.1146,-0.1084,12.1712,12.7605,-1.7041,2.1671,12.5142,11.4099,1.6543,7.7827,5.8156,-9.0761,-8.5066,21.6173,24.6843,10.1868,1.3859,10.8634,7.293,14.487,5.5588,9.3369,8.8582,10.7053,-1.4644,3.927,1.2918,18.2048,12.793,1.3691,12.8521,10.0058,-1.063,12.4773,-6.0809,22.2286,10.6441,17.8557,5.6726,4.6368,10.9077,0.1277,17.0712,2.9288,-5.1223,4.5762,5.0646,-5.4519,5.0021,15.2742,0.3055,23.7743,7.2585,7.0141,15.62,-11.232,0.207,0.2794,10.0305,12.1999,5.9653,33.769,2.3678,9.1144,-6.3706,14.2387,0.8446,-0.6308,9.1465,5.4532,0.1525,17.3632,2.1006,7.3561,9.1018,12.1576,5.3033
train_38419,0,6.8206,-5.4059,10.7839,3.3513,11.923,-7.8313,5.5522,12.7723,4.4039,7.7293,-0.4509,0.9647,14.2525,6.7286,5.5935,15.0489,9.1152,-0.1139,21.2217,11.2435,10.434,4.397,3.4979,2.4976,13.8402,13.4871,-3.6561,-0.9951,4.7524,6.6742,-16.4253,12.9509,0.6933,11.3022,11.2074,7.7581,3.2992,3.678,8.296,9.2518,2.3803,10.4478,10.406,11.3451,15.4301,-18.1934,8.4434,-32.0279,9.0138,1.6164,13.1291,21.482,-0.397,5.4905,1.2829,7.9928,19.9532,7.0064,-0.3058,8.4596,11.7025,-3.9216,1.6797,0.6622,7.5007,0.6417,3.9776,19.2294,5.0097,-8.0666,27.7687,0.7697,2.0494,33.8354,30.0118,20.5561,0.7095,20.5549,6.5642,12.5895,8.3695,15.7413,-9.8456,6.8074,-2.2316,20.2457,7.6267,4.5024,8.5903,3.2591,-4.5769,7.0471,10.1315,11.8363,9.505,0.3044,7.2653,38.6073,0.3407,0.0963,-3.0373,3.2882,31.5026,1.4347,10.6021,3.6018,8.5187,16.8335,14.1995,19.1564,6.3675,5.7483,0.541,14.295,4.2283,-1.5852,4.4436,38.5448,-9.6591,7.3541,27.5629,8.4164,-6.3085,10.636,1.9279,12.2041,12.2364,-0.44,-1.5878,11.6001,12.4219,0.5078,9.6423,7.1594,2.3432,-12.3137,30.2857,23.0816,-2.7805,17.6389,11.2049,12.451,11.4847,14.6333,8.494,5.4898,11.9596,1.7974,4.0388,-10.9277,18.1443,5.6602,4.7601,17.3219,6.6918,6.7563,13.3672,-8.4745,2.5826,11.1634,39.4286,5.4976,3.0624,8.4682,-6.379,22.251,3.345,-6.5762,7.6841,5.0486,1.6363,-11.1978,30.7243,2.2559,28.4812,12.9419,0.3069,11.1674,17.2377,1.8978,-10.6978,7.7608,18.3151,5.0456,15.9361,1.8762,7.5768,-21.8852,20.0401,1.7571,5.6087,8.8253,0.5806,1.0385,21.6036,-0.2312,11.0318,9.2386,18.3409,11.7676
train_128149,0,8.6146,2.3077,7.645,5.8363,9.0477,8.3722,6.4797,13.5048,-3.562,8.84,-0.547,-10.8403,14.2381,18.0313,7.7544,14.7068,7.8963,-4.8873,10.3366,14.318,19.234,22.9101,0.6823,3.15,7.2185,12.9934,-3.2669,-0.1281,5.5125,8.7879,-21.1395,9.0854,-1.0614,17.5095,11.4348,10.5775,-4.4782,7.9216,13.3893,3.0336,-9.7307,11.0887,10.899,11.14,1.7534,5.5549,16.1097,-21.3604,21.7518,22.6774,12.4623,14.2531,-8.5415,5.698,10.1437,5.2744,11.2354,6.3033,-1.9309,9.6325,18.2516,-11.7706,1.8614,-2.2521,7.101,6.0184,4.8494,11.9693,5.0202,-10.5479,33.3072,0.7476,0.7265,11.9256,11.6617,12.7515,14.3302,18.5266,3.482,13.9643,-5.4632,13.7131,2.1694,7.3868,-2.3567,16.9322,2.7639,11.3686,7.5681,4.1224,-18.6443,7.0324,11.2356,11.4542,14.4345,0.5242,27.87,15.5679,1.317,-1.2895,1.0139,15.7303,30.2089,1.3487,12.806,3.195,9.7221,8.3848,14.3367,17.2461,7.2154,6.4004,2.8353,9.2432,4.2606,3.214,3.9282,27.0723,-12.0917,2.6741,19.0773,13.6923,6.5444,0.658,7.8461,12.0768,13.7728,-0.9468,-0.4051,14.4905,12.984,1.0218,8.7176,6.6615,-2.9684,-14.0496,17.9032,18.57,6.8966,8.6599,8.0406,-1.7828,17.3583,14.9266,9.0784,5.4809,11.5525,-19.7144,3.963,14.4086,16.1277,11.0343,6.311,18.6046,14.6673,-0.9009,13.3745,-2.3345,13.3589,5.527,28.7567,5.8901,6.4447,20.7877,8.5532,24.8253,2.5964,0.1071,5.6958,6.5364,8.0771,7.8838,12.3665,7.7866,26.0928,14.5753,-0.6116,14.4266,-2.6667,6.5327,-5.9493,8.703,5.7097,11.5112,12.5505,2.0494,7.1366,-16.3091,20.349,-0.5306,2.255,9.588,1.4814,2.2534,18.531,-0.299,0.3477,7.3779,18.546,-5.0693
